"","category","longitude","latitude"
"470","music",-116.237221,33.679974
"471","music",-3.37072134,55.940884727
"472","music",121.075,14.5267
"473","music",-85.930995776,40.004845781
"474","music",-87.67728,41.91068
"475","music",-38.472168155,-3.741256293
"476","music",-80.1060087,26.1096845
"477","music",-86.049237298,35.473296787
"478","music",-74.43839,39.35488
"479","music",-83.372643685,42.745520169
"480","music",-81.278130842,34.053380052
"481","music",-80.1060087,26.1096845
"482","music",-80.71121,35.32799
"483","music",-78.576422222,35.749488889
"484","music",-85.930995776,40.004845781
"485","music",-85.930995776,40.004845781
"486","music",-116.237221,33.679974
"487","music",-83.00737,39.9974785
"488","music",120.483333333,14.433333333
"489","music",-84.418772661,39.051923306
"490","music",-81.561015808,41.191290503
"491","music",-99.150667191,19.303124003
"492","music",-83.814544816,34.149913763
"493","music",-85.930995776,40.004845781
"494","music",-122.916652062,44.358196551
"495","music",96.134446896,16.839238675
"496","music",-83.372643685,42.745520169
"497","music",1.078362988,51.275473628
"498","music",-86.081465958,35.476375511
"499","music",-81.0928461,37.9752451
"500","music",-81.3686523,28.2983494
"501","music",-84.3944345,33.7615422
"502","music",-97.393262386,27.80541061
"503","music",-95.3007849,32.3508804
"504","music",-1.092808138,53.940675539
"505","music",-124.087615013,48.835599728
"506","music",-117.70102,33.46266
"507","music",-97.766797396,30.267142039
"508","music",-116.24395225,34.204474539
"509","music",-46.78701,-23.44376
"510","music",-83.044550794,42.327531689
"511","music",-121.863,36.5944
"512","music",-87.68939,30.24785
"513","music",4.898014,52.373503
"514","music",27.497062683,47.167309701
"515","music",-80.4512787,43.4711227
"516","music",-48.489236217,-27.475900804
"517","music",-96.707773285,32.98519435
"518","music",-106.491700546,31.760051898
"519","music",-84.51600176,39.095848323
"520","music",-43.38994814,-22.974444844
"521","music",-84.5031,39.1362
"522","music",-1.092808138,53.940675539
"523","music",-90.059,29.9728
"524","music",-119.290713583,34.278889768
"525","music",-75.682926178,45.399414255
"526","music",-73.9214085,40.7953989
"527","music",-3.18484,55.9568
"528","music",-97.4391785,35.2226982
"529","music",-79.595787,44.5027008
"530","music",-84.5,39.133333333
"531","music",13,51.9833
"532","music",120.9797123,14.5350412
"533","music",-95.3669968,29.7860107
"534","music",-90.063214302,35.13665079
"535","music",-88.4348038,42.74217899
"536","music",-120.77251679,50.090696492
"537","music",-0.91039,52.58052
"538","music",-80.197968,25.796534
"539","music",-117.26964219,49.105288576
"540","music",-80.7335663,27.3598804
"541","music",-85.930995776,40.004845781
"542","music",121.053185202,14.620751731
"543","music",-115.136797,36.167772
"544","music",-47.276181579,-22.837430424
"545","music",-84.418772661,39.051923306
"546","music",-74.0702,40.3489
"547","music",152.65686,-26.3489
"548","music",19.053468704,47.498386914
"549","music",10.016334667,53.542916564
"550","music",-79.47917,43.74668
"551","music",-48.625166416,-27.036403046
"552","music",-60.635,-32.95222222
"553","music",12.493056,41.879444
"554","music",9.195714011,48.899750216
"555","music",-51.214263229,-30.035750956
"556","music",-99.289896623,18.606295602
"557","music",10.13684,46.52705
"558","music",-98.499833706,29.425194904
"559","music",-7.86667,40.35
"560","music",15.840053558,50.218009956
"561","music",-48.489236217,-27.475900804
"562","music",-47.770698166,-21.152154945
"563","music",14.430204747,50.106534774
"564","music",9.75481,61.59239
"565","music",2.17797,48.90547
"566","music",4.757113432,50.433048748
"567","music",9.701921533,45.68440386
"568","music",-47.276181579,-22.837430424
"569","music",121.17657,24.92575
"570","music",20.67517519,52.436718556
"571","music",-8.839216964,41.688396266
"572","music",14.167685509,40.812542501
"573","music",9.452451328,45.942315628
"574","music",-96.942108,32.872921
"575","music",-83.372643685,42.745520169
"576","music",9.1897,45.4643
"577","music",-98.48914,29.42139
"578","music",-94.1838,36.30301
"579","music",9.913766193,57.043507648
"580","music",-85.930995776,40.004845781
"581","music",-74.211548906,42.20398564
"582","music",-87.68991,41.9187
"583","music",-104.984,39.7392
"584","music",153.143297136,-26.80282146
"585","music",-78.576422222,35.749488889
"586","music",-46.6714524,-23.6361288
"587","music",-80.71121,35.32799
"588","music",-81.278078562,34.053460231
"589","music",-95.359963319,29.75355975
"590","music",-73.97975636,40.759878114
"591","music",-122.910708497,42.385835748
"592","music",-73.97975636,40.759878114
"593","music",-122.910708497,42.385835748
"594","music",-120.77251679,50.090696492
"595","music",-76.6526,34.7207
"596","music",-94.1838,36.30301
"597","music",-74.210765471,42.204448631
