"","word","freq"
"craftspeople","craftspeople",4
"creating","creating",4
"creativity","creativity",4
"crowds","crowds",4
"culturais","culturais",4
"culturales","culturales",4
"cuore","cuore",4
"curitiba","curitiba",4
"daily","daily",4
"daniel","daniel",4
"dart","dart",4
"david","david",4
"deep","deep",4
"degustazione","degustazione",4
"dem","dem",4
"department","department",4
"depois","depois",4
"descuento","descuento",4
"development","development",4
"direct","direct",4
"directly","directly",4
"disso","disso",4
"diverse","diverse",4
"diversity","diversity",4
"diversos","diversos",4
"donc","donc",4
"dora","dora",4
"doutorado","doutorado",4
"dun","dun",4
"earlybird","earlybird",4
"eastern","eastern",4
"edge","edge",4
"ejemplo","ejemplo",4
"ele","ele",4
"encontro","encontro",4
"enero","enero",4
"ensemble","ensemble",4
"envie","envie",4
"envision","envision",4
"escola","escola",4
"escribiendo","escribiendo",4
"esgotado","esgotado",4
"espacio","espacio",4
"espada","espada",4
"especial","especial",4
"esse","esse",4
"everything","everything",4
"exciting","exciting",4
"exclusivement","exclusivement",4
"exhibits","exhibits",4
"facebookcomcortometrajeevents","facebookcomcortometrajeevents",4
"fait","fait",4
"fall","fall",4
"familyfriendly","familyfriendly",4
"famous","famous",4
"fantastic","fantastic",4
"farm","farm",4
"fazer","fazer",4
"feel","feel",4
"fevereiro","fevereiro",4
"field","field",4
"fiesta","fiesta",4
"fill","fill",4
"fim","fim",4
"flash","flash",4
"foodtrucks","foodtrucks",4
"form","form",4
"forward","forward",4
"fra","fra",4
"francofolies","francofolies",4
"freuen","freuen",4
"front","front",4
"furniture","furniture",4
"garnizon","garnizon",4
"gathering","gathering",4
"gatlinburg","gatlinburg",4
"george","george",4
"geral","geral",4
"gilberto","gilberto",4
"gli","gli",4
"gomes","gomes",4
"goo","goo",4
"gratuita","gratuita",4
"growing","growing",4
"grupo","grupo",4
"guided","guided",4
"habitantes","habitantes",4
"hard","hard",4
"hat","hat",4
"heloisa","heloisa",4
"het","het",4
"hidden","hidden",4
"holds","holds",4
"host","host",4
"hosting","hosting",4
"httpschocolateandartshowhoustoneventbritecom","httpschocolateandartshowhoustoneventbritecom",4
"httpswwwgoogleclmapsplaceteatroazareszdatambmmsxcabcxfcefemddqteatroazaresumieutfsaxvedahukewilxefdfwahxslakhdyqabyqauicigb","httpswwwgoogleclmapsplaceteatroazareszdatambmmsxcabcxfcefemddqteatroazaresumieutfsaxvedahukewilxefdfwahxslakhdyqabyqauicigb",4
"huge","huge",4
"iconic","iconic",4
"importante","importante",4
"included","included",4
"indian","indian",4
"infos","infos",4
"ingresa","ingresa",4
"innovative","innovative",4
"instituto","instituto",4
"interessados","interessados",4
"interesting","interesting",4
"internationally","internationally",4
"invitation","invitation",4
"invites","invites",4
"involved","involved",4
"iris","iris",4
"isabel","isabel",4
"italia","italia",4
"jain","jain",4
"jazz","jazz",4
"john","john",4
"jones","jones",4
"juin","juin",4
"julho","julho",4
"jury","jury",4
"kick","kick",4
"kind","kind",4
"kranti","kranti",4
"kyiv","kyiv",4
"ladies","ladies",4
"lagoa","lagoa",4
"land","land",4
"lane","lane",4
"lart","lart",4
"lasts","lasts",4
"late","late",4
"lecture","lecture",4
"lectures","lectures",4
